Gene	MYC_RNA
A253_SALIVARY_GLAND	5.226009053
HCC366_LUNG	4.999705192
DKMG_CENTRAL_NERVOUS_SYSTEM	4.372331717
SNU349_KIDNEY	3.906213605
UMUC1_URINARY_TRACT	5.737444796
NAMALWA_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	7.161034673
NCIH292_LUNG	4.752220045
59M_OVARY	5.987996202
U118MG_CENTRAL_NERVOUS_SYSTEM	4.223193049
VMRCLCD_LUNG	
HCC1833_LUNG	5.89724796
RH30_SOFT_TISSUE	5.519092104
TCCSUP_URINARY_TRACT	4.812096202
SNU601_STOMACH	5.725546102
CAL33_UPPER_AERODIGESTIVE_TRACT	5.39948147
SNU668_STOMACH	5.819284984
CORL279_LUNG	8.156898263
GB1_CENTRAL_NERVOUS_SYSTEM	4.943552538
KURAMOCHI_OVARY	5.098860495
COLO775_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	
COLO684_ENDOMETRIUM	6.25538968
KLM1_PANCREAS	
GRM_SKIN	
SNU685_ENDOMETRIUM	7.357323392
CMK86_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	
SNU886_LIVER	4.899410861
HCT8_LARGE_INTESTINE	
NCCSTCK140_STOMACH	6.189719462
NCIH3255_LUNG	4.121361665
SNU719_STOMACH	5.809927159
SNU489_CENTRAL_NERVOUS_SYSTEM	4.161388873
SNU81_LARGE_INTESTINE	5.808120189
A2058_SKIN	3.542959816
HTK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	
SNU1040_LARGE_INTESTINE	6.758573359
SNU1076_UPPER_AERODIGESTIVE_TRACT	4.791777454
SNU175_LARGE_INTESTINE	6.35456995
SNU407_LARGE_INTESTINE	6.441698928
SNU201_CENTRAL_NERVOUS_SYSTEM	3.087160768
KMS20_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	7.648701532
SNU216_STOMACH	5.173963459
SNU1196_BILIARY_TRACT	6.974605305
SNU1079_BILIARY_TRACT	5.629843398
HCC1195_LUNG	4.93509795
NCIH854_LUNG	6.719707163
SNU466_CENTRAL_NERVOUS_SYSTEM	2.465406851
YD38_UPPER_AERODIGESTIVE_TRACT	5.54416535
SNU1105_CENTRAL_NERVOUS_SYSTEM	3.729254579
SNU283_LARGE_INTESTINE	5.93940677
SNU46_UPPER_AERODIGESTIVE_TRACT	5.562055353
SNU308_BILIARY_TRACT	5.654943315
YD8_UPPER_AERODIGESTIVE_TRACT	4.552531791
SNU245_BILIARY_TRACT	6.537209394
SNU478_BILIARY_TRACT	8.37978183
SNU410_PANCREAS	5.404487265
SNU899_UPPER_AERODIGESTIVE_TRACT	5.618227308
SNU503_LARGE_INTESTINE	6.96869676
SET2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	7.219993727
SNU738_CENTRAL_NERVOUS_SYSTEM	5.819064986
SNU626_CENTRAL_NERVOUS_SYSTEM	0.679662856
SNU869_BILIARY_TRACT	5.442120148
SNU878_LIVER	4.445205093
